"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3262","Verify that Plan Selection Page loads successfully @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Plan Selection Page - Regression Tests","Regression Test Suite","",""
"","2677","Verify that 39 Headings are present on Privacy Policy | Vi @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Privacy Policy | Vi - Regression Tests","Regression Test Suite","",""
"","6488","Verify that 40 Inputs are present on How to Activate Vi eSIM Card – Easy Online Setup & Steps | Vi India @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - How to Activate Vi eSIM Card – Easy Online Setup & Steps | Vi India - Regression Tests","Regression Test Suite","",""
"","10812","Verify that 2 Menus are present on Vi International Roaming Packs (2026) - Stay Connected Abroad | Vi India @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Vi International Roaming Packs (2026) - Stay Connected Abroad | Vi India - Regression Tests","Regression Test Suite","",""
"","7529","Verify that 2 Menus are present on Vi (Vodafone Idea) - Vi Max Postpaid | Prepaid | Vi Games & More @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Vi (Vodafone Idea) - Vi Max Postpaid | Prepaid | Vi Games & More - Regression Tests","Regression Test Suite","",""
"","12218","Verify that 3 Tables are present on All OTT in One App - OTT Subscription Plans | Vi Movies & TV @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - All OTT in One App - OTT Subscription Plans | Vi Movies & TV - Regression Tests","Regression Test Suite","",""
"","4630","Verify that 106 Inputs are present on Vi Postpaid Auto Bill Payment - Setup & Manage Automatic Payments @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Postpaid Auto Bill Payment - Setup & Manage Automatic Payments - Regression Tests","Regression Test Suite","",""
"","4412","Verify that 11 Headings are present on Vi Unlimited Data, Calls & Internet Plans – Choose Vi Unlimited Plans Today @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Unlimited Data, Calls & Internet Plans – Choose Vi Unlimited Plans Today - Regression Tests","Regression Test Suite","",""
"","5948","Verify that 1 Input is present on Vi Prepaid Talktime and Top-Up Plans| Easy Online Mobile Recharge @regression","chromium","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Prepaid Talktime and Top-Up Plans| Easy Online Mobile Recharge - Regression Tests","Regression Test Suite","",""
"","8128","Verify that 46 Buttons are present on Port SIM Number to Vi | Enjoy Vi Benefits with Easy MNP process @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Port SIM Number to Vi | Enjoy Vi Benefits with Easy MNP process - Regression Tests","Regression Test Suite","",""
"","9396","Verify that 138 Inputs are present on Port SIM Number to Vi | Enjoy Vi Benefits with Easy MNP process @regression","webkit","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Port SIM Number to Vi | Enjoy Vi Benefits with Easy MNP process - Regression Tests","Regression Test Suite","",""
"","4659","Verify that 19 Buttons are present on Vi Electricity Bill Payment | Quick & Secure Online Payment @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Electricity Bill Payment | Quick & Secure Online Payment - Regression Tests","Regression Test Suite","",""
"","8166","Verify that 92 Links are present on Vi Giganet: A smart network powered with AI from Vi @regression","webkit","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Vi Giganet: A smart network powered with AI from Vi - Regression Tests","Regression Test Suite","",""
"","10186","Verify that 173 Links are present on Vi Postpaid Plans with Unlimited Calls & Data | Vi India @regression","webkit","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Vi Postpaid Plans with Unlimited Calls & Data | Vi India - Regression Tests","Regression Test Suite","",""
"","7130","Verify that Best Vi SMS Packs and SMS Plans for Prepaid Recharge|Vi India loads successfully @regression","chromium","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Best Vi SMS Packs and SMS Plans for Prepaid Recharge|Vi India - Regression Tests","Regression Test Suite","",""
"","8223","Verify that 2 Menus are present on Vi (Vodafone Idea) - Vi Max Postpaid | Prepaid | Vi Games & More @regression","webkit","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Vi (Vodafone Idea) - Vi Max Postpaid | Prepaid | Vi Games & More - Regression Tests","Regression Test Suite","",""
"","6622","Verify that 2 Inputs are present on Vi (Vodafone Idea) - Vi Max Postpaid | Prepaid | Vi Games & More @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi (Vodafone Idea) - Vi Max Postpaid | Prepaid | Vi Games & More - Regression Tests","Regression Test Suite","",""
"","9709","Verify that 1 Heading is present on Credit Card Bill Payment – Quick & Secure Online Bill Payments | Vi @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Credit Card Bill Payment – Quick & Secure Online Bill Payments | Vi - Regression Tests","Regression Test Suite","",""
"","5407","Verify that 15 Buttons are present on Get Free Night Data & Binge Your Shows with Hero Unlimited | Vi-5G @regression","chromium","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Get Free Night Data & Binge Your Shows with Hero Unlimited | Vi-5G - Regression Tests","Regression Test Suite","",""
